"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect_descriptive","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper"
"128","Osprey","OSPR-01","T11",47.3,"outer_slope","wall",3,0,0,0,0,0
"129","Osprey","OSPR-01","T12",44.7,"outer_slope","wall",4,1,0,0,0,0
"130","Osprey","OSPR-01","T13",43.2,"outer_slope","wall",4,0,0,0,0,0
"131","Osprey","OSPR-01","T14",55,"outer_slope","steep_slope",3,3,0,0,1,0
"132","Osprey","OSPR-01","T15",52.4,"outer_slope","steep_slope",4,1,0,0,1,1
"133","Osprey","OSPR-01","T16",38.2,"outer_slope","wall",3,1,0,0,0,1
"134","Osprey","OSPR-01","T17",35.3,"outer_slope","steep_slope",3,2,1,1,0,1
"135","Osprey","OSPR-01","T18",33.3,"outer_slope","wall",3,3,0,1,0,0
"136","Osprey","OSPR-01","T19",28.2,"outer_slope","wall",3,1,1,0,2,1
"137","Osprey","OSPR-01","T2",85.1,"outer_slope","steep_slope",3,0,0,0,0,0
"138","Osprey","OSPR-01","T20",25.1,"outer_slope","steep_slope",3,0,0,0,0,0
"139","Osprey","OSPR-01","T21",21.8,"outer_slope","steep_slope",3,8,1,2,1,1
"140","Osprey","OSPR-01","T22",18.8,"outer_slope","wall",3,2,0,0,0,1
"141","Osprey","OSPR-01","T23",16.4,"outer_slope","wall",3,4,0,0,1,1
"142","Osprey","OSPR-01","T24",14.1,"outer_slope","wall",3,3,0,11,0,0
"143","Osprey","OSPR-01","T25",9.1,"outer_slope","wall",3,11,0,12,2,1
"144","Osprey","OSPR-01","T26",7.1,"outer_slope","wall",3,0,0,16,1,2
"145","Osprey","OSPR-01","T27",7,"outer_slope","steep_slope",3,0,1,9,1,0
"146","Osprey","OSPR-01","T3",77.2,"outer_slope","steep_slope",3,2,0,0,0,0
"147","Osprey","OSPR-01","T4",74.4,"outer_slope","steep_slope",4,0,0,0,0,0
"148","Osprey","OSPR-01","T5",82.3,"outer_slope","wall",4,0,0,0,0,0
"149","Osprey","OSPR-01","T6",72.2,"outer_slope","steep_slope",4,0,0,0,0,0
"150","Osprey","OSPR-01","T7",67.8,"outer_slope","steep_slope",4,1,0,0,0,0
"151","Osprey","OSPR-01","T8",65.8,"outer_slope","steep_slope",4,2,0,0,0,0
"152","Osprey","OSPR-01","T9",63.2,"outer_slope","moderate_slope",3,2,0,0,0,0
"153","Osprey","OSPR-01","T1",94,"outer_slope","wall",3,0,0,0,0,0
"154","Osprey","OSPR-01","T10",90.4,"outer_slope","steep_slope",3,0,0,0,0,0
"155","Osprey","OSPR-01","T11",93.9,"outer_slope","wall",3,0,0,0,0,0
"156","Osprey","OSPR-01","T13",77,"outer_slope","steep_slope",3,0,0,0,0,0
"157","Osprey","OSPR-01","T14",70.9,"outer_slope","steep_slope",3,0,0,0,0,0
"158","Osprey","OSPR-01","T15",70.2,"outer_slope","steep_slope",3,0,0,0,0,0
"159","Osprey","OSPR-01","T16",66.2,"outer_slope","steep_slope",3,1,0,0,0,0
"160","Osprey","OSPR-01","T17",64.6,"outer_slope","steep_slope",3,0,0,0,0,0
"161","Osprey","OSPR-01","T18",57.2,"outer_slope","steep_slope",2,0,0,0,0,0
"162","Osprey","OSPR-01","T19",53.2,"outer_slope","steep_slope",3,0,1,0,0,0
"163","Osprey","OSPR-01","T2",98.8,"outer_slope","wall",4,0,0,0,0,0
"164","Osprey","OSPR-01","T20",64.6,"outer_slope","steep_slope",3,0,0,0,0,0
"165","Osprey","OSPR-01","T21",52.8,"outer_slope","steep_slope",4,1,0,0,1,0
"166","Osprey","OSPR-01","T22",47.8,"outer_slope","moderate_slope",2,4,0,5,0,0
"167","Osprey","OSPR-01","T23",44.7,"outer_slope","moderate_slope",1,0,0,0,0,0
"168","Osprey","OSPR-01","T24",41.2,"outer_slope","wall",4,1,0,0,0,0
"169","Osprey","OSPR-01","T25",32.8,"outer_slope","moderate_slope",3,1,0,2,0,0
"170","Osprey","OSPR-01","T26",35.7,"outer_slope","gentle_slope",3,2,0,1,0,0
"171","Osprey","OSPR-01","T27",36.6,"outer_slope","moderate_slope",3,3,0,2,0,1
"172","Osprey","OSPR-01","T28",28.8,"outer_slope","moderate_slope",3,0,0,3,0,3
"173","Osprey","OSPR-01","T29",25.5,"outer_slope","moderate_slope",3,1,0,0,7,1
"174","Osprey","OSPR-01","T3",92.4,"outer_slope","wall",3,0,0,0,0,0
"175","Osprey","OSPR-01","T30",23.7,"outer_slope","moderate_slope",3,0,0,7,0,3
"176","Osprey","OSPR-01","T31",18.9,"outer_slope","steep_slope",3,0,0,1,0,0
"177","Osprey","OSPR-01","T32",15.4,"outer_slope","steep_slope",3,2,0,3,0,3
"178","Osprey","OSPR-01","T33",12.7,"outer_slope","moderate_slope",3,1,0,2,0,0
"179","Osprey","OSPR-01","T34",5.1,"outer_slope","moderate_slope",1,3,1,16,10,0
"180","Osprey","OSPR-01","T35",7.1,"outer_slope","moderate_slope",1,2,0,8,6,0
"181","Osprey","OSPR-01","T36",9.1,"outer_slope","moderate_slope",1,2,0,3,0,0
"182","Osprey","OSPR-01","T4",86.4,"outer_slope","steep_slope",3,0,0,0,0,0
"183","Osprey","OSPR-01","T5",84.5,"outer_slope","steep_slope",2,0,0,0,0,0
"184","Osprey","OSPR-01","T6",82.5,"outer_slope","steep_slope",2,0,0,0,0,0
"185","Osprey","OSPR-01","T7",96.3,"outer_slope","wall",2,0,0,0,0,1
"186","Osprey","OSPR-01","T8",91.3,"outer_slope","wall",2,0,0,0,0,0
